name,description,lat,lng
Wills Street between La Trobe Street and A'Beckett Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8109733<br>Longitude: 144.9574159<br>Latitude: -37.8109733<br>Longitude: 144.9574159<br>﻿UsageType: Disable Parking,-37.810973,144.957416
Wills Street between La Trobe Street and A'Beckett Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8109313<br>Longitude: 144.9573964<br>Latitude: -37.8109313<br>Longitude: 144.9573964<br>﻿UsageType: Disable Parking,-37.810931,144.957396
William Street between Little Bourke Street and Lonsdale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8142479<br>Longitude: 144.9576576<br>Latitude: -37.8142479<br>Longitude: 144.9576576<br>﻿UsageType: Disable Parking,-37.814248,144.957658
William Street between Little Bourke Street and Lonsdale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8141954<br>Longitude: 144.9576335<br>Latitude: -37.8141954<br>Longitude: 144.9576335<br>﻿UsageType: Disable Parking,-37.814195,144.957634
William Street between Little Bourke Street and Lonsdale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8141404<br>Longitude: 144.9576082<br>Latitude: -37.8141404<br>Longitude: 144.9576082<br>﻿UsageType: Disable Parking,-37.81414,144.957608
William Street between Flinders Street and Flinders Lane,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8190202<br>Longitude: 144.959676<br>Latitude: -37.8190202<br>Longitude: 144.959676<br>﻿UsageType: Disable Parking,-37.81902,144.959676
William Street between Flinders Lane and Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8184913<br>Longitude: 144.9594187<br>Latitude: -37.8184913<br>Longitude: 144.9594187<br>﻿UsageType: Disable Parking,-37.818491,144.959419
Wight Street between McConnell Street and McCracken Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7935726<br>Longitude: 144.9282596<br>Latitude: -37.7935726<br>Longitude: 144.9282596<br>﻿UsageType: Disable Parking,-37.793573,144.92826
Whiteman Street between Westgate Freeway and Clarendon Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8269401<br>Longitude: 144.9556142<br>Latitude: -37.8269401<br>Longitude: 144.9556142<br>﻿UsageType: Disable Parking,-37.82694,144.955614
Whiteman Street between Westgate Freeway and Clarendon Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8258532<br>Longitude: 144.9567611<br>Latitude: -37.8258532<br>Longitude: 144.9567611<br>﻿UsageType: Disable Parking,-37.825853,144.956761
Whiteman Street between Westgate Freeway and Clarendon Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8258142<br>Longitude: 144.9568083<br>Latitude: -37.8258142<br>Longitude: 144.9568083<br>﻿UsageType: Disable Parking,-37.825814,144.956808
Wells Street between Grant Street and Miles Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8263219<br>Longitude: 144.9690222<br>Latitude: -37.8263219<br>Longitude: 144.9690222<br>﻿UsageType: Disable Parking,-37.826322,144.969022
