bay_id,slot_num,typedesc,fromday,today,starttime,endtime,duration_mins,disabilityext_mins,plain_english,is_strict,rule_category,id,exemption
25054,1,1P Meter,1,5,09:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,1,
25054,2,2P Meter,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,2,
25054,4,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,3,
28891,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,4,
28891,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,5,
27079,1,4P Ticket A,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,6,
27054,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,7,
27054,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,8,
27052,1,1P Meter,1,6,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,9,
27052,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,10,
27052,3,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,11,
28070,1,2P Meter,1,5,09:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,12,
24519,1,2P,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,13,
24519,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,14,
28055,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,15,
25099,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,16,
26895,1,2P,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,17,
26895,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,18,
25194,1,2P,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,19,
25194,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,20,
24722,1,2P Ticket A,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,21,
24722,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,22,
24441,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,23,
24441,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,24,
25943,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,25,
25943,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,26,
26478,1,1P Meter,1,5,09:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,27,
26478,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,28,
25692,1,1P Meter,1,5,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,29,
25692,2,1P,6,6,07:30:00,12:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,30,
28085,1,1/2P,1,0,07:30:00,18:30:00,30.0,60.0,Park for up to 30 minutes. No payment required.,False,timed,31,
24450,1,1P Meter,1,6,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,32,
24450,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,33,
