id,name,sub,category,lat,lng
1,Bourke Street Mall,"Bourke St, Melbourne CBD",landmark,-37.8136,144.9653
2,Chinatown Melbourne,"Little Bourke St, Melbourne",landmark,-37.8118,144.9688
3,Collins Street,"Collins St, Melbourne CBD",landmark,-37.8153,144.9634
4,Crown Casino,"8 Whiteman St, Southbank",landmark,-37.8228,144.9575
5,Docklands,"Harbour Esplanade, Docklands",landmark,-37.8157,144.9397
6,Elizabeth Street,"Elizabeth St, Melbourne CBD",landmark,-37.8136,144.9601
7,Emporium Melbourne,287 Lonsdale St,landmark,-37.812,144.9644
8,Federation Square,Swanston St & Flinders St,landmark,-37.818,144.9691
9,Flinders Street Station,Flinders St & Swanston St,landmark,-37.8183,144.9671
10,GPO Melbourne,"350 Bourke St, Melbourne",landmark,-37.8131,144.9636
11,Melbourne Central,Cnr La Trobe & Swanston St,landmark,-37.8102,144.9628
12,Melbourne Museum,"11 Nicholson St, Carlton",landmark,-37.8033,144.9717
13,Melbourne Town Hall,90-120 Swanston St,landmark,-37.8148,144.9665
14,Old Melbourne Gaol,"377 Russell St, Melbourne",landmark,-37.8078,144.9654
15,Queen Victoria Market,"513 Elizabeth St, Melbourne",landmark,-37.8076,144.9568
16,RMIT University,"124 La Trobe St, Melbourne",landmark,-37.8083,144.9632
17,State Library Victoria,"328 Swanston St, Melbourne",landmark,-37.8098,144.9652
18,Swanston Street,"Swanston St, Melbourne CBD",landmark,-37.8136,144.9663
19,A'Beckett Street,Melbourne CBD,street,-37.80957674589744,144.95981273923078
20,Agnes Street,Melbourne CBD,street,-37.817408764375,144.980010709375
21,Albert Coates Lane,Melbourne CBD,street,-37.81100153,144.96512585000002
22,Albert Street,Melbourne CBD,street,-37.80990579105263,144.9791374226316
23,Alfred Place,Melbourne CBD,street,-37.81380627222222,144.9699699311111
24,Anthony Street,Melbourne CBD,street,-37.80910614,144.959064924
25,Artemis Lane,Melbourne CBD,street,-37.81056341,144.966293125
26,Aurora Lane,Melbourne CBD,street,-37.82038362846154,144.95112016153846
27,Austral Lane,Melbourne CBD,street,-37.816314952,144.960757094
28,Bank Place,Melbourne CBD,street,-37.81652877333333,144.96037850000002
29,Batman Street,Melbourne CBD,street,-37.81074693785714,144.95148329785715
30,Bennetts Lane,Melbourne CBD,street,-37.80903962,144.96778591333333
31,Benson Walk,Melbourne CBD,street,-37.81372460666666,144.97069496666666
32,Berkeley Street,Melbourne CBD,street,-37.805055295,144.959787335
33,Block Arcade,Melbourne CBD,street,-37.81561850199999,144.964260178
