bay_id,category,roadsegmentid,parkingzone,street,notes,recovery_method,recovery_distance_m,matched_segment_id,ref_bay_id,recovery_typedesc_slots,manual_review,manual_review_reason
10879,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,75.48,,,,,
10880,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,73.92,,,,,
10881,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,72.41,,,,,
10882,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,70.94,,,,,
10883,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,69.54,,,,,
10884,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,68.19,,,,,
10885,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,66.9,,,,,
10886,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,65.67,,,,,
10887,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,64.52,,,,,
10888,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,63.49,,,,,
10889,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,85.42,,,,,
10890,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,83.98,,,,,
10891,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,82.58,,,,,
10892,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,81.24,,,,,
10893,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,79.94,,,,,
10894,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,78.7,,,,,
10895,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,77.51,,,,,
10896,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,76.38,,,,,
10897,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,75.31,,,,,
10898,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,74.3,,,,,
