RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated,Location
20189,56721,King Street between Flinders Lane and Collins Street,-37.8185369,144.9568504,2024-04-08,"-37.8185369, 144.9568504"
20172,,Queen Street between Collins Street and Little Collins Street,-37.8163667,144.9612159,2023-11-21,"-37.8163667, 144.9612159"
20014,,Lonsdale Street between King Street and Spencer Street,-37.8148461,144.9536493,2023-10-31,"-37.8148461, 144.9536493"
22213,,Toorak Road between Hope Street and Millswyn Street,-37.8373941,144.9797541,2023-10-31,"-37.8373941, 144.9797541"
20530,36752,Lygon Street between Argyle Place North and Grattan Street,-37.801843,144.9666521,2024-08-14,"-37.801843, 144.9666521"
20527,36743,Intersection of Lygon Street and Pelham Street,-37.8027864,144.9664865,2024-08-14,"-37.8027864, 144.9664865"
21342,,Miller Street between Abbotsford Street and Lothian Street,-37.8055352,144.9442269,2023-10-31,"-37.8055352, 144.9442269"
21182,,Flemington Road between Villiers Street and Harcourt Street,-37.7980484,144.9533842,2023-10-31,"-37.7980484, 144.9533842"
21975,,Jolimont Street between Jolimont Terrace and Charles Street,-37.8185006,144.9812192,2024-08-08,"-37.8185006, 144.9812192"
22784,,Palmer Street between Agnes Street and Charles Street,-37.8175889,144.9807845,2024-08-08,"-37.8175889, 144.9807845"
21499,58739,Spencer Street between Jeffcott Street and Batman Street,-37.8116073,144.9506021,2024-04-05,"-37.8116073, 144.9506021"
21957,,Vale Street South between Punt Road and Vale Street,-37.819299,144.9890753,2024-08-08,"-37.819299, 144.9890753"
21957,,Vale Street South between Punt Road and Vale Street,-37.8192808,144.9888669,2024-08-08,"-37.8192808, 144.9888669"
21586,,Victoria Parade between Powlett Street and Clarendon Street,-37.8094083,144.9846227,2024-08-08,"-37.8094083, 144.9846227"
22000,,Victoria Parade between Hoddle Street and Simpson Street,-37.8100338,144.9903984,2023-10-31,"-37.8100338, 144.9903984"
20038,66035,Little Lonsdale Street between Russell Street and Swanston Street,-37.8104095,144.9647085,2023-10-31,"-37.8104095, 144.9647085"
20038,66063,Little Lonsdale Street between Russell Street and Swanston Street,-37.8101928,144.9656367,2023-10-31,"-37.8101928, 144.9656367"
20038,66061,Little Lonsdale Street between Russell Street and Swanston Street,-37.810156,144.9657626,2023-10-31,"-37.810156, 144.9657626"
22501,,Nicholson Street between Victoria Street and Carlton Street,-37.802353,144.9740192,2023-10-31,"-37.802353, 144.9740192"
22501,,Nicholson Street between Victoria Street and Carlton Street,-37.8027264,144.9739572,2023-10-31,"-37.8027264, 144.9739572"
20206,50522,Spring Street between Little Bourke Street and Lonsdale Street,-37.8098508,144.9722329,2023-10-31,"-37.8098508, 144.9722329"
21931,,George Street between Powlett Street and Clarendon Street,-37.8150351,144.9831892,2023-10-31,"-37.8150351, 144.9831892"
20137,61649,Flinders Lane between King Street and Spencer Street,-37.8199462,144.9552983,2023-10-31,"-37.8199462, 144.9552983"
20137,61652,Flinders Lane between King Street and Spencer Street,-37.8200009,144.9551049,2023-10-31,"-37.8200009, 144.9551049"
22819,,Collins Street between Spencer Street and Batmans Hill Drive,-37.820459,144.9490075,2023-10-31,"-37.820459, 144.9490075"
21439,,Ireland Street between Dryburgh Street and Anderson Street,-37.8064411,144.9423095,2023-10-31,"-37.8064411, 144.9423095"
21550,,Railway Place between Dryburgh Street and Ireland Street,-37.8069425,144.9424081,2023-10-31,"-37.8069425, 144.9424081"
20108,61848,Collins Street between Exhibition Street and Russell Street,-37.8147115,144.9694567,2023-10-31,"-37.8147115, 144.9694567"
22388,,The Avenue between Walker Street and Ievers Street,-37.7817378,144.9573501,2023-10-31,"-37.7817378, 144.9573501"
21324,,Canning Street between Shiel Street and Vaughan Terrace,-37.7957641,144.9410013,2023-10-31,"-37.7957641, 144.9410013"
21290,,Vaughan Terrace between MacAulay Road and Canning Street,-37.7959603,144.9401276,2023-10-31,"-37.7959603, 144.9401276"
21214,,Shiel Street between Dryburgh Street and Canning Street,-37.7962744,144.9421961,2023-10-31,"-37.7962744, 144.9421961"
21867,,Simpson Street between Grey Street and Albert Street,-37.8118322,144.9885154,2023-10-31,"-37.8118322, 144.9885154"
21549,,Railway Place between Abbotsford Street and Adderley Street,-37.8078047,144.9430453,2023-10-31,"-37.8078047, 144.9430453"
21549,,Railway Place between Abbotsford Street and Adderley Street,-37.8076948,144.9429584,2023-10-31,"-37.8076948, 144.9429584"
22277,,St Leonards Court from Anderson Street,-37.8293485,144.9849779,2023-10-31,"-37.8293485, 144.9849779"
30702,,Upfield Railway,-37.7817072,144.9497383,2023-10-31,"-37.7817072, 144.9497383"
30702,,Upfield Railway,-37.7813809,144.9507647,2023-10-31,"-37.7813809, 144.9507647"
30702,,Upfield Railway,-37.7813744,144.9508833,2023-10-31,"-37.7813744, 144.9508833"
20013,,Lonsdale Street between William Street and King Street,-37.8143489,144.9554092,2023-10-31,"-37.8143489, 144.9554092"
21361,,Spencer Street between Hawke Street and Abbotsford Street,-37.8068744,144.946273,2023-10-31,"-37.8068744, 144.946273"
23247,,Queen Street between Therry Street and Victoria Street,-37.8073352,144.9579199,2023-10-31,"-37.8073352, 144.9579199"
