_sensor_norm,roadsegmentid
66035,20038
66063,20038
66061,20038
50522,20206
61649,20137
61652,20137
61848,20108
51830,20148
53817,20394
22435,22308
52128,20151
52026,20150
64248,20049
54132,20172
18524,23151
52244,20152
17481,23293
17499,23293
20604,23062
20623,23033
13462,22801
17696,23314
17698,23314
23378,23267
23381,23267
23382,23267
50624,21847
15008,22855
16418,20897
16412,20897
16409,20897
9469,20931
9450,20931
9430,20939
54615,20177
15000,23225
21493,23225
18204,23225
10285,20573
24420,20573
62758,20093
22946,21850
56723,20189
57315,20195
53915,20170
53815,20394
23853,21514
9614,20992
11238,21384
11267,21384
61138,20127
50631,21848
65167,20003
65140,20003
65134,20003
65518,20011
65568,20011
65542,20011
60732,20224
51934,20149
51930,20149
65855,20034
65087,20001
65062,20001
65061,20001
65060,20001
65039,20001
54629,20177
61922,20110
52318,20153
56625,20188
51442,20145
61312,20131
60133,20210
55314,21521
16745,21557
8738,20873
8744,20873
9585,20992
9603,20992
9624,20994
57641,21518
10669,20951
10724,20980
11143,21404
11144,21404
11250,21385
11254,21386
11480,20990
11484,20990
11490,20990
63212,20103
11791,21123
12125,21180
56528,20416
63625,20080
63622,20080
62340,20118
51634,20146
51632,20146
61843,20108
60228,20212
60243,20212
60245,20212
51853,20148
61916,20110
67232,20026
64462,20053
64459,20053
51444,20145
61648,20137
63145,20101
61519,20135
54516,20176
54453,20175
62316,20118
60029,20208
50848,20139
64572,20055
64562,20055
64564,20055
61021,20125
63620,20080
51753,20147
5738,20003
17710,23378
69966,22445
51448,20145
66427,20046
62220,20116
57922,20069
65091,20001
65086,20001
54063,20171
56530,20416
54244,20173
53920,20170
61139,20127
61428,20133
26281,22504
26279,22504
60027,20208
62332,20118
64569,20055
64567,20055
61018,20125
63638,20080
62658,20091
65248,20005
54613,20177
63151,20101
51751,20147
65478,20009
63445,20065
17709,23378
62868,20095
62874,20095
60026,20208
51811,20148
51016,20141
52111,20151
50679,21847
52248,20152
63233,20103
50523,20206
66018,20038
62214,20116
64045,20088
62219,20116
65327,20007
65227,20005
54064,20171
54152,20172
54321,20174
64215,20049
50513,20206
50521,20206
22870,20462
51833,20148
51825,20148
66956,20020
66424,20046
65545,20011
65953,20036
60834,20121
16696,20214
23812,21117
9433,20939
13442,22913
17430,21849
17449,21849
64111,20090
25020,21553
17957,21553
58116,20073
7494,20891
7489,20891
7856,20893
7872,20893
25095,21902
10972,21859
18077,21596
50644,21848
22322,20522
22318,20522
17950,21553
58213,20075
58115,20073
7846,20891
7849,22618
7858,20893
7882,20893
65132,20003
65523,20011
65539,20011
65538,20011
57940,20067
66459,20046
66456,20046
66452,20046
65072,20001
65068,20001
65056,20001
65041,20001
65038,20001
52229,20152
54627,20177
54624,20177
61945,20110
64026,20088
52314,20153
53224,20167
66013,20038
57925,20069
8395,22501
8396,22501
16748,21557
8741,20873
9338,21113
9351,21113
10322,20468
10719,20980
10732,20980
10843,21392
10848,21392
10855,21392
11116,22661
11121,22661
11253,21385
11257,21386
11261,21384
11268,21384
11481,20990
11489,20990
63234,20103
11933,21122
12114,21180
12127,21180
13133,21405
13136,21405
63125,20101
63636,20080
63627,20080
65479,20009
69967,22445
61844,20108
60131,20210
61933,20110
62645,20091
64344,20051
52247,20152
57918,20067
65334,20007
65097,20001
66222,20042
63330,20105
69976,22445
61617,20137
61946,20110
60846,20121
51815,20148
64458,20053
52249,20152
65867,20034
66075,20038
63224,20103
66426,20046
65325,20007
54247,20173
65659,20013
60220,20212
11369,20945
11396,20945
62323,20118
65447,20009
15001,22855
15006,22855
14991,23224
57327,20195
16411,20897
16413,20897
9418,20931
9449,20931
24049,20939
9438,20939
9405,20939
21492,23225
13421,22913
13419,22913
10279,20573
10294,20573
51859,20148
24509,22514
51311,20144
62884,20095
58012,20434
51638,20146
17429,21849
17450,21853
5925,21855
5965,21855
5945,21855
5961,21855
5937,21855
5940,21855
5933,21855
24596,21863
17930,21866
17935,21866
65615,20013
17929,21866
65641,20013
65612,20013
65662,20013
17462,21851
17475,21851
17470,21851
17517,21851
22944,21850
23028,21850
23023,21850
16423,20897
16419,20897
9468,20931
9448,20932
23972,20939
23975,20939
23976,20939
9425,20939
9429,20939
24003,22802
18205,23225
24004,23225
67334,20028
60730,20224
61719,20106
61830,20108
66330,20044
22331,20522
9606,20992
57647,21518
57644,21518
11247,21385
12029,21182
66033,20038
15024,22779
66068,20038
64046,20088
64048,20088
64025,20088
18577,22802
20900,23308
20601,22448
60425,20216
64732,20059
64731,20059
13469,22801
13450,22801
23386,23267
61643,20137
65625,20013
65668,20013
24046,20939
24047,20939
23971,20939
23977,20939
23984,20939
56913,20191
18626,23311
15096,23311
20913,23032
24275,22439
24279,22439
24366,20573
50122,20198
24421,20573
66442,20046
51818,20148
51856,20148
17491,23293
62735,20093
62759,20093
13390,22913
13392,22913
17460,21851
51014,20141
17718,23378
17711,23378
23365,20173
23385,23267
65616,20013
50626,21847
63512,20078
63545,20078
63541,20078
24052,20939
23980,20939
56915,20191
21371,22802
64110,20090
18066,23225
64137,20090
64135,20090
24278,22439
22319,20522
22321,20522
24474,22659
17951,21553
17509,21852
5929,21855
17503,21852
5960,21855
24987,21852
24593,21863
63924,20086
7499,20891
7842,20891
22943,21850
7848,20891
7844,20891
7865,20893
7860,20893
7877,20893
7874,20893
63342,20105
63340,20105
17548,21580
17550,21580
20634,21860
20632,21860
25126,21860
25115,22622
25109,22622
25102,21894
25098,21902
25080,21932
63514,20078
25065,21943
63543,20078
25063,21937
63547,20078
63075,20099
24829,20063
57742,20431
18074,21596
64465,20053
17960,21553
17953,21553
25008,20889
17508,21852
17505,21852
24988,21852
58117,20073
58119,20073
7853,22619
7850,22618
7845,20891
7847,20891
7866,20893
7875,20893
7864,20893
7867,20893
7929,20898
16436,20898
16427,20898
17559,21580
17552,21580
17566,21580
17555,21580
20633,21860
20631,21860
25129,21860
25127,21860
25103,22622
25100,21902
25368,22786
25097,21902
25094,21902
25087,21902
25062,21937
10969,21859
17290,22630
17242,22630
17212,22630
60958,20123
62053,20112
25366,22786
50643,21848
65511,20011
65570,20011
65547,20011
52110,20151
66454,20046
65839,20034
65052,20001
52214,20152
54631,20177
54628,20177
62243,20116
62242,20116
61951,20110
62416,20120
62412,20120
63310,20105
23820,21514
8737,20873
8892,20456
50634,21848
50671,21848
65183,20003
65162,20003
65136,20003
65131,20003
65129,20003
9584,20992
65510,20011
9623,20994
65558,20011
9634,20994
65549,20011
9637,20994
65546,20011
65535,20011
65532,20011
9727,21483
65531,20011
66451,20046
60737,20224
57651,21518
51928,20149
57649,21518
51929,20149
65851,20034
65822,20034
65042,20001
54634,20177
10709,20951
10713,20980
10803,21392
10823,21392
56621,20188
10839,21392
10856,21392
56617,20188
57319,20195
57312,20195
57225,20194
57224,20194
11123,22661
57222,20194
57218,20194
11241,21384
11258,21386
61625,20137
60437,20216
60135,20210
11485,20990
11491,20990
57924,20069
11492,20990
23815,21514
63245,20103
22345,20522
22317,20522
63217,20103
8742,20873
8748,20873
8751,20873
8888,20456
11877,22686
11878,22686
9589,20992
9631,20994
11929,21122
12286,21141
57645,21518
10317,20468
10712,20980
10804,21392
10826,21392
10852,21392
10853,21392
11184,21385
62711,20093
5736,20003
65481,20009
65477,20009
63423,20065
61135,20127
62867,20095
64237,20049
62217,20116
65333,20007
65185,20003
50640,21848
65182,20003
65567,20011
52149,20151
57939,20067
67323,20028
67435,20030
65046,20001
65044,20001
52231,20152
52228,20152
64013,20088
52012,20150
52316,20153
53214,20167
56716,20189
56828,20190
57212,20194
61247,20129
66011,20038
66016,20038
63361,20105
63329,20105
23810,21514
8394,22501
16751,21557
10716,20980
10721,20980
10742,20980
10744,20980
10746,20980
10864,21392
11124,22661
11243,21384
11259,21384
11422,21501
11930,21122
11935,21122
12089,21124
12091,21124
62713,20093
13137,21405
13138,21405
61019,20125
61150,20127
65247,20005
6391,20084
51745,20147
60839,20121
62027,20112
60028,20208
53827,20394
63235,20103
63238,20103
65524,20011
56719,20189
65184,20003
60139,20210
66062,20038
66021,20038
50518,20206
15020,22779
61928,20110
22893,20462
22879,20462
51836,20148
51834,20148
51826,20148
65955,20036
21539,22308
21540,22308
22775,22079
52147,20151
52029,20150
21752,22311
21753,22311
21755,22311
51734,20147
51736,20147
54329,20174
54334,20174
54322,20174
54037,20171
53923,20170
53926,20170
21510,22199
21511,22199
21514,22199
21518,22199
21520,22199
54129,20172
54131,20172
12292,21141
21963,21122
21967,21122
54532,20176
54533,20176
54441,20175
61712,20106
18591,22802
18589,22802
18573,22802
18219,22802
18576,22802
65191,20003
15095,23311
20905,23032
20906,23032
20910,23032
20918,23032
20586,23032
20901,22898
20589,22448
20593,22448
21504,22895
18533,22822
61322,20131
61515,20135
61535,20135
20607,23246
20610,23246
15030,23151
17487,23293
20920,23033
20924,23033
20573,22899
20577,22899
20578,22899
15327,22553
13448,22801
13474,22801
13457,22801
13021,22801
13464,22801
13405,22913
13391,22913
13431,22913
53948,20170
50655,21847
50656,21847
50214,20200
17693,23314
17694,23314
23360,23342
15100,23343
6370,20120
17323,23226
17332,23226
23377,23267
23387,23267
65613,20013
65617,20013
65619,20013
65660,20013
63215,20103
11945,21122
14857,22686
65143,20003
9358,21113
9380,21115
9648,20994
9728,21483
57642,21518
10321,20468
61929,20110
51838,20148
65142,20003
21544,22308
52124,20151
21742,22311
21744,22311
21757,22311
21758,22311
21685,22311
21686,22311
51733,20147
65467,20009
65446,20009
65444,20009
65442,20009
54328,20174
54335,20174
54330,20174
54136,20172
54139,20172
54034,20171
53930,20170
53933,20170
21512,22199
21529,22202
6763,20167
21964,21122
11137,21404
54552,20176
54549,20176
54547,20176
54528,20176
54537,20176
54424,20175
54435,20175
54437,20175
54428,20175
61743,20106
18587,22802
18592,22802
18572,22802
65198,20003
18630,23311
15097,23311
62339,20118
20904,23032
20909,23032
20596,22448
56925,20191
64015,20088
61513,20135
61536,20135
18565,22941
18571,22941
18568,22941
18566,22941
20923,23033
13022,22801
13428,22913
51015,20141
20871,23032
50223,20200
17713,23378
51861,20148
65642,20013
60217,20212
65490,20009
65445,20009
24036,20931
9451,20931
9463,20931
24425,20573
13445,22913
17434,21849
17441,21849
5922,21855
5948,21855
5928,21855
5953,21855
24591,21863
17920,21866
17938,21866
17936,21866
17456,21851
17513,21851
23033,21850
23022,21850
65521,20011
67329,20028
51924,20149
54626,20177
22344,20522
22330,20522
9610,20992
11180,20998
12082,21124
16779,20185
22021,21141
54541,20176
54431,20175
16286,23151
61635,20137
13398,22913
17716,23378
65816,20034
24424,20573
51313,20144
17446,21849
5936,21855
17458,21851
22947,21850
24682,20059
63348,20105
63517,20078
63510,20078
61243,20129
17956,21553
25012,20889
7488,20891
7843,20891
7857,20893
17565,21580
17546,21580
17561,21580
25114,22622
25104,22622
25099,21902
25084,21902
25081,21932
25071,21932
25068,21932
25067,21943
25060,21937
25055,21937
62325,20118
17381,20897
10974,21859
17295,22630
17244,22630
17202,22630
18165,21596
18169,21596
18170,21596
65868,20034
57921,20069
65326,20007
65018,20001
54417,20175
54062,20171
65865,20034
65190,20003
14761,21499
64233,20049
66034,20038
66067,20038
51614,20146
22314,20522
51839,20148
51837,20148
52030,20150
52031,20150
65241,20005
12081,21124
61248,20129
65144,20003
51439,20145
51446,20145
53941,20170
21532,22203
63965,20086
65458,20009
18606,22894
17482,23293
13404,22913
50918,20140
50222,20200
65666,20013
60223,20212
62330,20118
17514,21851
63147,20101
63511,20078
63544,20078
64138,20090
62433,20120
24986,21852
66455,20046
66429,20046
54416,20175
60739,20224
51933,20149
51936,20149
65835,20034
65063,20001
65057,20001
52217,20152
52212,20152
62237,20116
