parkingzone,segment_id,restriction_display,restriction_days,time_restrictions_start,time_restrictions_finish,zone_is_uniform_lz_dp,segment_is_uniform_lz_dp,bay_count,sample_bay_ids
7133,21601.0,LZ30,Mon-Fri,09:30:00,16:00:00,False,False,11,"69210,69211,69212,69213,69214"
7190,20112.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,20,"62020,62021,62026,62027,62028"
7219,22445.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,12,"69960,69961,69962,69965,69966"
7274,21847.0,LZ30,Mon-Fri,09:00:00,16:00:00,False,False,19,"50624,50625,50626,50649,50650"
7307,21649.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,12,"67849,67857,67860,67864,67865"
7333,20084.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,18,"25032,63811,63812,63813,63824"
7334,20078.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,24,"63510,63511,63512,63513,63514"
7335,20090.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,10,"64110,64111,64112,64113,64114"
7339,20086.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,8,"63923,63924,63954,63961,63962"
7340,20088.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,15,"64010,64011,64012,64013,64014"
7343,20065.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,16,"63417,63418,63422,63423,63424"
7345,20080.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,19,"63610,63613,63618,63619,63620"
7356,20110.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,35,"61910,61911,61912,61913,61914"
7357,20120.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,12,"23372,62410,62411,62412,62415"
7362,20118.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,31,"62310,62311,62314,62315,62316"
7363,20108.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,9,"61829,61830,61831,61835,61843"
7366,20106.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,19,"61710,61711,61712,61713,61714"
7368,20431.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,7,"57719,57720,57721,57738,57739"
7390,22651.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,7,"53513,53514,53515,53516,53517"
7396,20142.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,4,"51153,51154,51155,51160"
7400,20140.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,10,"50910,50911,50912,50918,50919"
7402,20139.0,LZ30,Mon-Fri,10:00:00,16:00:00,False,False,9,"50815,50816,50817,50818,50848"
7408,21600.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,9,"51510,51511,51512,51513,51514"
7411,20141.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,8,"51012,51013,51014,51015,51016"
7411,20142.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,4,"51153,51154,51155,51160"
7412,20123.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,6,"60940,60941,60942,60956,60957"
7416,20129.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,9,"61241,61242,61243,61244,61245"
7418,20137.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,26,"14909,20748,20749,61613,61614"
7423,20121.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,10,"60833,60834,60836,60837,60838"
7425,20135.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,22,"21150,61513,61514,61515,61516"
7437,20224.0,LZ30,Mon-Fri,10:00:00,16:00:00,False,False,25,"60710,60711,60714,60715,60716"
7444,20433.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,7,"62521,62525,62526,62527,62528"
7445,20433.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,7,"62521,62525,62526,62527,62528"
7446,20210.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,10,"60131,60132,60133,60134,60135"
7446,20123.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,6,"60940,60941,60942,60956,60957"
7450,20127.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,10,"61135,61137,61138,61139,61145"
7452,20212.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,18,"60217,60218,60219,60220,60221"
7454,20208.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,5,"60025,60026,60027,60028,60029"
7457,20133.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,9,"61411,61412,61413,61414,61415"
7461,21639.0,LZ30,Mon-Fri,07:00:00,16:00:00,False,False,16,"53610,53611,53613,53614,53615"
7476,20189.0,LZ30,Mon-Fri,10:00:00,16:00:00,False,False,14,"56710,56711,56712,56713,56714"
