bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
9003,1,4P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,10am,6:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Monday to Friday between 10am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,True
9003,2,4P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,False
6034,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
6034,2,2P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
8696,1,1P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,10pm,60,1 hour,120,2 hours,True,Resident Permit Area 1B,Park for up to 1 hour on Monday to Sunday between 7:30am to 10pm. No payment required. Disability permit holders may stay up to 2 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
8390,1,3P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,180,3 hours,360,6 hours,True,Resident Permit Area 1B,Park for up to 3 hours on Monday to Sunday between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 6 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
8453,1,3P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,180,3 hours,360,6 hours,True,Resident Permit Area 1B,Park for up to 3 hours on Monday to Sunday between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 6 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
8396,1,3P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,180,3 hours,360,6 hours,True,Resident Permit Area 1B,Park for up to 3 hours on Monday to Sunday between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 6 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
8623,1,4P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,11pm,240,4 hours,480,8 hours,True,Resident Permit Area 1B,Park for up to 4 hours on Monday to Sunday between 7:30am to 11pm. No payment required. Disability permit holders may stay up to 8 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
4850,1,2P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
