bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
1672,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
1672,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1810,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1810,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:31pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:31pm to 11:59pm. Also applies on public holidays.,False
873,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
873,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1472,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
1472,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1009,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1009,2,4P Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,8:30pm,11:59pm,240,4 hours,0,,True,,Disability permit holders only — max stay 4 hours. Applies Sundays only 8:30pm to 11:59pm. Also applies on public holidays.,False
2691,1,1P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,60,1 hour,0,,False,,Disability permit holders only — max stay 1 hour. Applies Monday to Sunday 12am to 11:59pm.,True
6040,1,1/2P Disabled,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,30,30 minutes,0,,True,,Disability permit holders only — max stay 30 minutes. Applies Monday to Sunday 12am to 11:59pm. Also applies on public holidays.,True
1470,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1470,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
674,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
674,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
674,3,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,7:30am,1440,24 hours,0,,True,All Other Times,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 12am to 7:30am. Also applies on public holidays.,False
2359,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
2359,2,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,4pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 7:30am to 4pm.,True
2359,3,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,6:30pm,8:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 6:30pm to 8:30pm.,False
2359,4,2P Disabled Only,disability,6,0,Saturday,Sunday,weekends,7:30am,8:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies weekends 7:30am to 8:30pm.,False
6080,1,2P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Saturday 7:30am to 6:30pm.,True
3059,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
7928,2,2P Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,7:30am,10pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Sundays only 7:30am to 10pm.,False
6087,1,Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,12am,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Sundays only 12am to 11:59pm. Also applies on public holidays.,False
6087,2,Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,6:30pm,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Monday to Saturday 6:30pm to 11:59pm. Also applies on public holidays.,False
6087,3,2P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Saturday 7:30am to 6:30pm.,True
6558,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 6:30pm. Also applies on public holidays.,True
6558,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,6:30pm,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 6:30pm to 11:59pm. Also applies on public holidays.,False
7900,1,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,4pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 7:30am to 4pm.,True
6086,1,Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,6:30pm,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Monday to Saturday 6:30pm to 11:59pm. Also applies on public holidays.,False
6086,2,Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,12am,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Sundays only 12am to 11:59pm. Also applies on public holidays.,False
6086,3,4P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,240,4 hours,0,,True,,Disability permit holders only — max stay 4 hours. Applies Monday to Sunday 7:30am to 6:30pm. Also applies on public holidays.,True
6086,4,2P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Saturday 7:30am to 6:30pm.,True
1538,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1538,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
868,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
4346,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
4346,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
5025,1,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 7:30am to 6:30pm.,True
4244,1,4P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,240,4 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 4 hours. Applies Monday to Sunday 12am to 11:59pm.,True
6237,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,120,2 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 12am to 11:59pm.,True
6559,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 6:30pm. Also applies on public holidays.,True
8088,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 7:30am to 6:30pm. Also applies on public holidays.,True
2708,1,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,9am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 9am to 6:30pm.,True
5084,1,4P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,240,4 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 4 hours. Applies Monday to Sunday 12am to 11:59pm.,True
4668,1,4P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,240,4 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 4 hours. Applies Monday to Friday 7:30am to 6:30pm.,True
4668,2,4P Disabled Only,disability,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,240,4 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 4 hours. Applies Saturdays only 7:30am to 12:30pm.,False
1015,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1015,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
1728,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,7:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 7:30pm.,True
690,1,4P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,240,4 hours,0,,True,,Disability permit holders only — max stay 4 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
690,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
2325,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,9:30pm,11:59pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 9:30pm to 11:59pm. Also applies on public holidays.,False
5889,1,3P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59am,180,3 hours,0,,True,All Other Times,Disability permit holders only — max stay 3 hours. Applies Monday to Sunday 12am to 11:59am. Also applies on public holidays.,False
6027,1,2P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Saturday 7:30am to 6:30pm.,True
2018,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
2018,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
8456,1,3P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,180,3 hours,0,,True,,Disability permit holders only — max stay 3 hours. Applies Monday to Sunday 7:30am to 6:30pm. Also applies on public holidays.,True
